input,output
"Troy: Hey, there, Frogface.",Dustin: Toothless.
Dustin: Toothless.,"Mike: Shit! Run, Mike!"
"Mike: Shit! Run, Mike!","Dustin: Move, Mike! Mike, come on, run!"
"Dustin: Move, Mike! Mike, come on, run!","Troy: You’re dead, Wheeler."
"Troy: You’re dead, Wheeler.",Dustin: Just keep going! Keep going!
Dustin: Just keep going! Keep going!,Mike: Stay back! Don’t come any closer!
Mike: Stay back! Don’t come any closer!,"Troy: Nice throw, numbnuts. Stay back, or I cut him! I want to know how you did it!"
"Troy: Nice throw, numbnuts. Stay back, or I cut him! I want to know how you did it!",Mike: How I did what?
Mike: How I did what?,Troy: I know you did something to me. Some nerdy science shit to make me do that.
Troy: I know you did something to me. Some nerdy science shit to make me do that.,Mike: You mean piss your pants?
Mike: You mean piss your pants?,"Dustin: Our friend has superpowers, and she squeezed your tiny bladder with her mind."
"Dustin: Our friend has superpowers, and she squeezed your tiny bladder with her mind.",Troy: Shut up! I think I should save Toothless here a trip to the dentist. Help him lose the rest of his baby teeth.
Troy: Shut up! I think I should save Toothless here a trip to the dentist. Help him lose the rest of his baby teeth.,Mike: Let him go. Let him go!
Mike: Let him go. Let him go!,"Troy: I’ll let him go, sure. But first it’s your turn. Wet yourself. Jump or Toothless here gets an early trip to the dentist."
"Troy: I’ll let him go, sure. But first it’s your turn. Wet yourself. Jump or Toothless here gets an early trip to the dentist.","Dustin: Stop! No! Mike, don’t do it. I don’t need my baby teeth, Mike! Mike, seriously, don’t!"
"Dustin: Stop! No! Mike, don’t do it. I don’t need my baby teeth, Mike! Mike, seriously, don’t!","James: Troy, I don’t think this is a good idea, man."
"James: Troy, I don’t think this is a good idea, man.",Troy: Dentist’s office opens in five four! Three! Two! One!
Troy: Dentist’s office opens in five four! Three! Two! One!,"Dustin: Mike, don’t! Seriously, don’t do it, man! Seriously, don’t! Mike!"
"Dustin: Mike, don’t! Seriously, don’t do it, man! Seriously, don’t! Mike!",Mike: Holy shit.
Mike: Holy shit.,Troy: She broke my arm! My arm! Let’s get out of here! Let’s go!
Troy: She broke my arm! My arm! Let’s get out of here! Let’s go!,James: Go!
James: Go!,"Dustin: Yeah, that’s right! You better run! She’s our friend and she’s crazy! You come back here and she’ll kill you! You hear me? She’ll kill you, you sons of bitches! She’ll kill you, you hear me?"
"Dustin: Yeah, that’s right! You better run! She’s our friend and she’s crazy! You come back here and she’ll kill you! You hear me? She’ll kill you, you sons of bitches! She’ll kill you, you hear me?","Mike: El, are you okay? El?"
"Mike: El, are you okay? El?",Eleven: Mike I’m sorry.
Eleven: Mike I’m sorry.,Mike: Sorry? What are you sorry for?
Mike: Sorry? What are you sorry for?,Eleven: The gate I opened it. I’m the monster.
Eleven: The gate I opened it. I’m the monster.,"Mike: No. No, El, you’re not the monster. You saved me. Do you understand? You saved me."
"Mike: No. No, El, you’re not the monster. You saved me. Do you understand? You saved me.",Unknown: I have eyes on ‘em now. They’re heading home.
Unknown: I have eyes on ‘em now. They’re heading home.,Max: You must be an angel I can see it in your eyes Full of wonder and surprise...
Max: You must be an angel I can see it in your eyes Full of wonder and surprise...,"Eleven: Oh, you found Ralph Macchio."
"Eleven: Oh, you found Ralph Macchio.",Max: Macchio?
Max: Macchio?,"Eleven: Yeah, he's the Karate Kid. He's so hot, right? I bet he's an amazing kisser, too."
"Eleven: Yeah, he's the Karate Kid. He's so hot, right? I bet he's an amazing kisser, too.","Eleven: Hey, uh... is Mike a good kisser?"
"Eleven: Hey, uh... is Mike a good kisser?",Max: I don't know. He's my first boyfriend.
Max: I don't know. He's my first boyfriend.,Eleven: Ex-boyfriend.
Eleven: Ex-boyfriend.,"Max: Hey, don't worry about it. Okay? He'll come crawling back to you in no time, begging for forgiveness. I guarantee you, him and Lucas are, like, totally wallowing in self-pity and misery right now. They're like, 'Oh, I hope they take us back.' God, what I wouldn't give to see their stupid faces."
"Max: Hey, don't worry about it. Okay? He'll come crawling back to you in no time, begging for forgiveness. I guarantee you, him and Lucas are, like, totally wallowing in self-pity and misery right now. They're like, 'Oh, I hope they take us back.' God, what I wouldn't give to see their stupid faces.",Eleven: What is it?
Eleven: What is it?,Max: Is this really gonna work?
Max: Is this really gonna work?,"Eleven: Holy shit, this is insane."
"Eleven: Holy shit, this is insane.","Max: Max. Yeah, quiet. I'm sorry."
"Max: Max. Yeah, quiet. I'm sorry.",Mike: What's wrong with me? What did I do wrong? What did I do wrong? What could I have done wrong?
Mike: What's wrong with me? What did I do wrong? What did I do wrong? What could I have done wrong?,Lucas: Nothing. Do I have to go through this again?
Lucas: Nothing. Do I have to go through this again?,Eleven: I see them.
Eleven: I see them.,Max: What are they doing?
Max: What are they doing?,Eleven: Eating.
Eleven: Eating.,Mike: I just don't understand what I did to deserve this.
Mike: I just don't understand what I did to deserve this.,Lucas: Nothing. Nothing. That's my whole point. You are the victim here.
Lucas: Nothing. Nothing. That's my whole point. You are the victim here.,"Mike: I know. It's just, why is she treating me this way? I don't know. What did I do wrong?"
"Mike: I know. It's just, why is she treating me this way? I don't know. What did I do wrong?",Lucas: Mike...
Lucas: Mike...,Mike: What did I do wrong?!
Mike: What did I do wrong?!,"Lucas: Mike, stop. Relax. Just relax. Okay? Stop asking rational questions."
"Lucas: Mike, stop. Relax. Just relax. Okay? Stop asking rational questions.","Mike: I know, I know, you're right. Because women act on emotion and not logic."
"Mike: I know, I know, you're right. Because women act on emotion and not logic.",Lucas: Precisely. It's a totally different species.
Lucas: Precisely. It's a totally different species.,"Eleven: They say we are 'species'. 'Emotion, not logic'."
"Eleven: They say we are 'species'. 'Emotion, not logic'.",Max: What?
Max: What?,"Will: Guys, it's ready."
"Will: Guys, it's ready.","Mike: Will, not right now."
"Mike: Will, not right now.",Eleven: They broke up with you.
Eleven: They broke up with you.,"Lucas: What else is there to talk about? Tons. Yeah, we're trying to solve the great mystery of the female species."
"Lucas: What else is there to talk about? Tons. Yeah, we're trying to solve the great mystery of the female species.","Lucas: Dude, you can smell the nacho cheese."
"Lucas: Dude, you can smell the nacho cheese.",Mike: I got that beat.
Mike: I got that beat.,Lucas: No.
Lucas: No.,"Mike: No, Lucas, no."
"Mike: No, Lucas, no.",Will: No!
Will: No!,Max: What happened? What... What happened?
Max: What happened? What... What happened?,"Hopper: When I say three inches, three... Do you knock? Jeez!"
"Hopper: When I say three inches, three... Do you knock? Jeez!",Max: Yeah! Jeez!
Max: Yeah! Jeez!,"Hopper: Oh, hey. I'm sorry. I thought that, uh..."
"Hopper: Oh, hey. I'm sorry. I thought that, uh...",Eleven: Mike's not here.
Eleven: Mike's not here.,Max: Max wanted to have... a sleepover. Is that... okay?
Max: Max wanted to have... a sleepover. Is that... okay?,Hopper: Yeah. Yeah. Yeah. Yeah. Your parents know about it?
Hopper: Yeah. Yeah. Yeah. Yeah. Your parents know about it?,Max: Yup.
Max: Yup.,"Hopper: Uh, yeah, it's cool. Yeah. That's... That's really cool."
"Hopper: Uh, yeah, it's cool. Yeah. That's... That's really cool.",Max: Did you need something?
Max: Did you need something?,"Hopper: No, no. Uh, I'll leave. I'll just let you... I'll leave you..."
"Hopper: No, no. Uh, I'll leave. I'll just let you... I'll leave you...","Max: Holy shit, I can't believe we're really doing this."
"Max: Holy shit, I can't believe we're really doing this.",Max: Ready?
Max: Ready?,Eleven: Ready.
Eleven: Ready.,Max: Mr. Wheeler.
Max: Mr. Wheeler.,Eleven: Ugh. Boring.
Eleven: Ugh. Boring.,"Max: Yeah, boring. Spin again."
"Max: Yeah, boring. Spin again.",Eleven: Against the rules?
Eleven: Against the rules?,Max: We make our own rules.
Max: We make our own rules.,Max: Billy.
Max: Billy.,"Max: Okay, look, I should just warn you, if he's with a girl or doing something gross, just get out of there right away before you're scarred for life."
"Max: Okay, look, I should just warn you, if he's with a girl or doing something gross, just get out of there right away before you're scarred for life.",Eleven: Max...
Eleven: Max...,"Max: No, I'm just saying, I'm serious. He's really gross."
"Max: No, I'm just saying, I'm serious. He's really gross.",Eleven: Max!
Eleven: Max!,"Max: Okay, shutting up now."
"Max: Okay, shutting up now.",Eleven: I found him.
Eleven: I found him.,Max: What's he doing?
Max: What's he doing?,Eleven: I don't know. He's... on the floor... talking to someone.
Eleven: I don't know. He's... on the floor... talking to someone.,Billy: Don't be afraid. It'll be over soon. Just stay very still.
Billy: Don't be afraid. It'll be over soon. Just stay very still.,Max: What is it? What happened?
Max: What is it? What happened?,Mike: What are you doing?
Mike: What are you doing?,"Lucas: Yeah, Will, can you turn down the music?"
"Lucas: Yeah, Will, can you turn down the music?",Will: Please address me by my full name.
Will: Please address me by my full name.,Mike: What?
Mike: What?,Will: My full name!
Will: My full name!,"Mike: Oh, my God. Okay, Will the Wise, can you please turn down the music?"
"Mike: Oh, my God. Okay, Will the Wise, can you please turn down the music?","Will: That is not music. That... is the sound of destiny! I have seen into the future, and I've seen that today is a new day, a day... free of girls!"
"Will: That is not music. That... is the sound of destiny! I have seen into the future, and I've seen that today is a new day, a day... free of girls!",Lucas: What is happening right now?
Lucas: What is happening right now?,"Mike: Will, come on."
"Mike: Will, come on.",Will: A tribe of villagers are under threat from an evil force from the swamps of Kuzatan.
Will: A tribe of villagers are under threat from an evil force from the swamps of Kuzatan.,"Lucas: Will, it's so early."
"Lucas: Will, it's so early.","Will: Is it? Is it early, Michael? Tell that to the villagers crying for your help, the children so frightened, they cannot sleep. Are you truly going to let them perish? Or are you going to come to their rescue and become the heroes you were always meant to be?"
"Will: Is it? Is it early, Michael? Tell that to the villagers crying for your help, the children so frightened, they cannot sleep. Are you truly going to let them perish? Or are you going to come to their rescue and become the heroes you were always meant to be?",Mike: Uh... Can I at least take a shower first?
